Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nenes,Nens
1, Ciutat  Vella ,1, el  Raval ,210,222
1, Ciutat  Vella ,2, el  Barri  Gòtic ,64,60
1, Ciutat  Vella ,3, la  Barceloneta ,36,48
1, Ciutat  Vella ,4, Sant  Pere,  Santa  Caterina  i  la  Ribera ,60,83
2,Eixample,5, el  Fort  Pienc ,101,104
2,Eixample,6, la  Sagrada  Família ,184,175
2,Eixample,7, la  Dreta  de  l'Eixample ,159,177
2,Eixample,8, l'Antiga  Esquerra  de  l'Eixample ,136,168
2,Eixample,9, la  Nova  Esquerra  de  l'Eixample ,210,219
2,Eixample,10, Sant  Antoni ,121,170
3,Sants-Montjuïc,11, el  Poble  Sec ,138,155
3,Sants-Montjuïc,12, la  Marina  del  Prat  Vermell ,6,7
3,Sants-Montjuïc,13, la  Marina  de  Port ,116,131
3,Sants-Montjuïc,14, la  Font  de  la  Guatlla ,29,40
3,Sants-Montjuïc,15,Hostafrancs,67,53
3,Sants-Montjuïc,16, la  Bordeta ,82,75
3,Sants-Montjuïc,17, Sants  -  Badal ,95,113
3,Sants-Montjuïc,18,Sants,171,193
4, Les  Corts ,19, les  Corts ,165,177
4, Les  Corts ,20, la  Maternitat  i  Sant  Ramon ,74,83
4, Les  Corts ,21,Pedralbes,41,30
5, Sarrià-Sant  Gervasi ,22, Vallvidrera,  el  Tibidabo  i  les  Planes ,25,16
5, Sarrià-Sant  Gervasi ,23,Sarrià,98,92
5, Sarrià-Sant  Gervasi ,24, les  Tres  Torres ,75,61
5, Sarrià-Sant  Gervasi ,25, Sant  Gervasi  -  la  Bonanova ,85,107
5, Sarrià-Sant  Gervasi ,26, Sant  Gervasi  -  Galvany ,212,197
5, Sarrià-Sant  Gervasi ,27, el  Putxet  i  el  Farró ,120,138
6,Gràcia,28, Vallcarca  i  els  Penitents ,56,52
6,Gràcia,29, el  Coll ,25,24
6,Gràcia,30, la  Salut ,61,35
6,Gràcia,31, la  Vila  de  Gràcia ,237,217
6,Gràcia,32, el  Camp  d'en  Grassot  i  Gràcia  Nova ,137,133
7,Horta-Guinardó,33, el  Baix  Guinardó ,81,95
7,Horta-Guinardó,34, Can  Baró ,39,41
7,Horta-Guinardó,35, el  Guinardó ,136,153
7,Horta-Guinardó,36, la  Font  d'en  Fargues ,29,30
7,Horta-Guinardó,37, el  Carmel ,109,107
7,Horta-Guinardó,38, la  Teixonera ,37,35
7,Horta-Guinardó,39, Sant  Genís  dels  Agudells ,34,30
7,Horta-Guinardó,40,Montbau,26,17
7,Horta-Guinardó,41, la  Vall  d'Hebron ,23,20
7,Horta-Guinardó,42, la  Clota ,6,4
7,Horta-Guinardó,43,Horta,100,100
8, Nou  Barris ,44, Vilapicina  i  la  Torre  Llobeta ,78,79
8, Nou  Barris ,45,Porta,108,95
8, Nou  Barris ,46, el  Turó  de  la  Peira ,77,82
8, Nou  Barris ,47, Can  Peguera ,7,4
8, Nou  Barris ,48, la  Guineueta ,49,55
8, Nou  Barris ,49,Canyelles,17,19
8, Nou  Barris ,50, les  Roquetes ,67,79
8, Nou  Barris ,51,Verdun,41,56
8, Nou  Barris ,52, la  Prosperitat ,101,88
8, Nou  Barris ,53, la  Trinitat  Nova ,29,33
8, Nou  Barris ,54, Torre  Baró ,10,19
8, Nou  Barris ,55, Ciutat  Meridiana ,61,84
8, Nou  Barris ,56,Vallbona,6,6
9, Sant  Andreu ,57, la  Trinitat  Vella ,55,61
9, Sant  Andreu ,58, Baró  de  Viver ,11,11
9, Sant  Andreu ,59, el  Bon  Pastor ,49,59
9, Sant  Andreu ,60, Sant  Andreu ,186,213
9, Sant  Andreu ,61, la  Sagrera ,108,115
9, Sant  Andreu ,62, el  Congrés  i  els  Indians ,60,56
9, Sant  Andreu ,63,Navas,90,93
10, Sant  Martí ,64, el  Camp  de  l'Arpa  del  Clot ,113,131
10, Sant  Martí ,65, el  Clot ,81,99
10, Sant  Martí ,66, el  Parc  i  la  Llacuna  del  Poblenou ,52,71
10, Sant  Martí ,67, la  Vila  Olímpica  del  Poblenou ,25,36
10, Sant  Martí ,68, el  Poblenou ,140,139
10, Sant  Martí ,69, Diagonal  Mar  i  el  Front  Marítim  del  Poblenou ,85,79
10, Sant  Martí ,70, el  Besòs  i  el  Maresme ,127,111
10, Sant  Martí ,71, Provençals  del  Poblenou ,92,98
10, Sant  Martí ,72, Sant  Martí  de  Provençals ,89,95
10, Sant  Martí ,73, la  Verneda  i  la  Pau ,82,95
