,Nom_Barri,Mitjana.15_18,Desvia.15_18
0, el  Raval ,11408.5,577.619468162215
1, el  Barri  Gòtic ,14557.75,138.63328424299843
2, la  Barceloneta ,15166.75,658.7933572069469
3, Sant  Pere,  Santa  Caterina  i  la  Ribera ,16337.0,965.6176779657671
4, el  Fort  Pienc ,21394.0,383.9094945426591
5, la  Sagrada  Família ,21519.5,378.7561880682611
6, la  Dreta  de  l'Eixample ,27388.75,958.952651333735
7, l'Antiga  Esquerra  de  l'Eixample ,25428.0,796.478813277541
8, la  Nova  Esquerra  de  l'Eixample ,23901.0,484.3025913620533
9, Sant  Antoni ,21319.0,532.7583880146797
10, el  Poble  Sec ,15194.0,539.2304702073131
11, la  Marina  del  Prat  Vermell ,12396.0,546.6068056656449
12, la  Marina  de  Port ,16434.75,337.38581401712787
13, la  Font  de  la  Guatlla ,19260.5,446.0787486531946
14,Hostafrancs,18769.75,390.4813535881067
15, la  Bordeta ,19062.25,565.4150577230854
16, Sants  -  Badal ,18683.0,522.8656615231106
17,Sants,20410.25,356.8692862940155
18, les  Corts ,26948.0,715.2793160717008
19, la  Maternitat  i  Sant  Ramon ,24631.5,548.1945366382266
20,Pedralbes,35001.25,1069.1352522015163
21, Vallvidrera,  el  Tibidabo  i  les  Planes ,24846.0,1172.6237674548474
22,Sarrià,30884.0,1381.6339963970197
23, les  Tres  Torres ,37029.75,1842.292237268561
24, Sant  Gervasi  -  la  Bonanova ,32077.75,1591.9675522761133
25, Sant  Gervasi  -  Galvany ,33900.0,1633.8064450846068
26, el  Putxet  i  el  Farró ,27783.25,1041.024105148387
27, Vallcarca  i  els  Penitents ,24697.75,360.0044270561127
28, el  Coll ,19415.25,419.78469183618404
29, la  Salut ,22948.75,567.6206369574666
30, la  Vila  de  Gràcia ,21585.5,780.9239719716638
31, el  Camp  d'en  Grassot  i  Gràcia  Nova ,23643.75,339.1440512525614
32, el  Baix  Guinardó ,20555.0,321.73980170317753
33, Can  Baró ,19262.0,427.48508745920014
34, el  Guinardó ,20215.75,291.6422251663843
35, la  Font  d'en  Fargues ,23508.25,565.5255851860285
36, el  Carmel ,14903.25,473.6635805083604
37, la  Teixonera ,16666.75,477.779433944158
38, Sant  Genís  dels  Agudells ,17371.0,406.7609863298101
39,Montbau,17802.75,335.63177367466267
40, la  Vall  d'Hebron ,22119.5,318.5627881595715
41, la  Clota ,19360.0,846.0718054633425
42,Horta,18813.75,384.032143836945
43, Vilapicina  i  la  Torre  Llobeta ,18604.0,299.5521657407938
44,Porta,16607.25,188.59662642794012
45, el  Turó  de  la  Peira ,13929.0,414.00603860330347
46, Can  Peguera ,12661.5,571.6758259713279
47, la  Guineueta ,18612.5,298.6649460515914
48,Canyelles,17289.0,278.95071249236844
49, les  Roquetes ,12962.5,403.9118096812719
50,Verdun,13883.25,364.3579112630876
51, la  Prosperitat ,15350.25,345.12054053620164
52, la  Trinitat  Nova ,11827.5,576.6855729078021
53, Torre  Baró ,11248.25,522.5171647898277
54, Ciutat  Meridiana ,10644.25,434.31289124316817
55,Vallbona,11260.25,591.3536906961856
56, la  Trinitat  Vella ,11815.0,522.7384623308294
57, Baró  de  Viver ,11783.5,616.3191137714293
58, el  Bon  Pastor ,14772.25,347.9607556894886
59, Sant  Andreu ,20597.25,337.79089315729044
60, la  Sagrera ,19123.25,331.9332575985721
61, el  Congrés  i  els  Indians ,19054.5,473.9981540048442
62,Navas,19457.0,375.0806579923844
63, el  Camp  de  l'Arpa  del  Clot ,20106.5,424.6860605200034
64, el  Clot ,19714.25,459.8735559912094
65, el  Parc  i  la  Llacuna  del  Poblenou ,20145.75,336.4114853865724
66, la  Vila  Olímpica  del  Poblenou ,30475.5,283.032241979602
67, el  Poblenou ,20951.75,426.83801084252093
68, Diagonal  Mar  i  el  Front  Marítim  del  Poblenou ,23695.5,420.7092226229418
69, el  Besòs  i  el  Maresme ,12570.0,239.05543290207817
70, Provençals  del  Poblenou ,19254.25,474.3992912094199
71, Sant  Martí  de  Provençals ,17911.75,318.285543969562
72, la  Verneda  i  la  Pau ,16317.0,249.9019807844668
